Title,URL,Description,Channel Name,Views,Summary
BREAKING NEWS: President Trump Unveils World-Shaking Reciprocal Tariffs At 'Liberation Day' Event,https://www.youtube.com/watch?v=BSASd4uNgTc,"President Trump holds an event at the White House to unveil his ""Liberation Day"" tariffs. Fuel your success with Forbes.",Forbes Breaking News,618009,"Trump on Wednesday launched a historic global trade war, announcing sweeping global tariffs on dozens of nations, from Nicaragua to Cambodia. ..."
See markets plunge as Trump’s tariffs spark global trade tensions,https://www.youtube.com/watch?v=ELPgwQzGYOE,The major U.S. stock indexes had their worst one-day drawdowns since the onset of the pandemic after Trump's sweeping new ...,MSNBC,224512,"Global stock markets plunged yesterday in response to Trump's tariff announcement, with all three major US indexes seeing their worst day since ..."
"China-Taiwan WAR LIVE: Chinese Aircraft, Warships, and Coast Guard Vessels Surround Taiwan? War LIVE",https://www.youtube.com/watch?v=ZrSiOBmqTUA,"China-Taiwan WAR LIVE: Chinese Aircraft, Warships, and Coast Guard Vessels Surround Taiwan? War LIVE Alert: Taiwan says ...",WION,Unknown Views,"China continues a second day of war games and military drills around Taiwan, including simulated attacks on key targets."
US-Iran War LIVE: Iran Ready To Strike US; Trump To Bombard Tehran? | World War III | War LIVE,https://www.youtube.com/watch?v=vMxyH5wT5tE,US-Iran War LIVE: Iran Ready To Strike US; Trump To Bombard Tehran? | World War III | War LIVE Tensions between the US and ...,WION,Unknown Views,US-Iran War LIVE: Iran Ready To Strike US; Trump To Bombard Tehran? | World War III | War LIVE Tensions between the US and Iran escalate as ...
"NEWS TODAY: Trump tariff announcement, NYC Mayor Adams case dismissed, latest updates",https://www.youtube.com/watch?v=7DoW68U2ZNk,"TRUMP TARIFFS: President Donald Trump will make his ""Liberation Day"" announcement focused on tariffs from the Rose Garden ...",LiveNOW from FOX,1113725,NYC Mayor Eric Adams' corruption case dismissed; judge says charges can't be used as 'leverage'. A federal judge dismissed the charges at the ...
"World Fires Back At Donald Trump As He Announces  ""Liberation Day"" Tariffs | N18G",https://www.youtube.com/watch?v=lGplUq5sbww,"World Fires Back At Donald Trump As He New Announces ""Liberation Day"" Tariffs | N18G US President Donald Trump's new ...",Firstpost,147227,Watch: Key moments in Trump's 'Liberation Day' tariffs announcement. Leaders from countries subject to the 10% baseline rate have also ...
LIVE: Pres. Trump announces imposition of new tariffs in 'Liberation Day' remarks,https://www.youtube.com/watch?v=sGjnJlp1lfk,ABC NEWS SPECIAL REPORT: Pres. Trump delivers remarks in the White House Rose Garden on the imposition of new tariffs.,ABC News,127950,President Donald Trump has announced sweeping tariffs of at least 10% on most goods coming into the US. Here's how countries are responding.
Trump Announces 27% Reciprocal Tariffs on India | Donald Trump | Liberation Day | N18G,https://www.youtube.com/watch?v=Wy_s1PxZNY0,Trump Announces 27% Reciprocal Tariffs on India | Donald Trump | Liberation Day | N18G US President Donald Trump ...,Firstpost,509084,"President Trump announced reciprocal tariffs on about 90 countries, including China and the European Union. Here's the list."
Breaking: Elon Musk Stepping Back In Coming Weeks | World News | WION,https://www.youtube.com/watch?v=G95JFVzVVFE,Reports indicate that President Donald Trump has informed his inner circle that Elon Musk will be stepping back from his role in ...,WION,7477,Reports indicate that President Donald Trump has informed his inner circle that Elon Musk will be stepping back from his role in the ...
"LIVE: 'World WAR III...': Trump's HUGE WARNING To EUROPE; Big Announcements On Ukraine, Iran",https://www.youtube.com/watch?v=W9axT6wtda8,"U.S. President Trump warned of a global conflict, saying what's going on in Europe this thing could end up in World War III if we ...",Times Of India,Unknown Views,"U.S. President Trump warned of a global conflict, saying what's going on in Europe this thing could end up in World War III if we don't get ..."
Canada spared from reciprocal tariffs as Trump lays out sweeping plan | CBC News Special,https://www.youtube.com/watch?v=UXR7WbYRM6s,"President Donald Trump says the U.S. is moving forward with sweeping tariffs, with a base rate of 10 per cent for many countries ...",CBC News,343752,"U.S. President Donald Trump announced Wednesday his long-awaited plan to impose what he's calling ""retaliatory"" tariffs on imports coming ..."
"ABC World News Tonight with David Muir Full Broadcast - March 30, 2025",https://www.youtube.com/watch?v=xcjauip_4lA,Our weather team is tracking a long night ahead for more than 100 million Americans now under a severe weather threat.,ABC News,847530,"Watch full episode of World News Tonight with David Muir season 16 episode 87, read episode recap, view photos and more."
Donald Trump set to announce sweeping global tariffs on US 'Liberation Day' | BBC News,https://www.youtube.com/watch?v=dduefDMgoUs,"US President Donald Trump is preparing to unveil sweeping tariffs, in what the White House has dubbed ""Liberation Day”. He will ...",BBC News,372755,"Trump announced a 10% ""baseline"" tariff on imports to the US. This is what the UK will face. But 60 countries will be hit with higher rates of ..."
"ABC World News Tonight with David Muir Full Broadcast - March 29, 2025",https://www.youtube.com/watch?v=ambtRssxGbw,"Britt Clennett reports from Bangkok, Thailand where rescuers are searching through the rubble for survivors of a 7.7 earthquake ...",ABC News,923880,"ABC World News Tonight with David Muir Full Broadcast - March 30, 2025. ABC News · 19:32. ABC World News Tonight with David Muir Full Broadcast - March 29, 2025."
"Iran Warns US And UK, Threatens Strike On Chagos Island | World News | WION",https://www.youtube.com/watch?v=Az0i4ECqqco,"Iran has issued a stern warning to the US and UK, threatening retaliation against the Chagos Islands if attacked. This comes after ...",WION,84382,Tehran has reportedly issued a warning that it will target British forces in the Chagos Islands in the Indian Ocean if United States President ...
Trump Accepts Iran’s Offer After Tehran’s Nuclear Ultimatum Amid Bombing Threat? Big Development,https://www.youtube.com/watch?v=pPw2dZYPRT0,US Iran Nuclear Program Deal | Trump Iran nuclear Deal | Trump On Iran Nuclear PRogram | Trump News | Trump Latest News ...,Hindustan Times,184047,Trump Accepts Iran's Offer After Tehran's Nuclear Ultimatum Amid Bombing Threat? Big Development. 178K views · 1 day ago #trump #khamenei #iran
Why the World is Saying No to American Goods | Vantage with Palki Sharma | N18G,https://www.youtube.com/watch?v=bBT4DbSPLMI,Why the World is Saying No to American Goods | Vantage with Palki Sharma | N18G Why are Americans suddenly losing their ...,Firstpost,1644747,Is this consumer activism or economic warfare? Can Trump's trade policies survive this global pushback? Palki Sharma tells you.
"ABC World News Tonight with David Muir Full Broadcast - March 31, 2025",https://www.youtube.com/watch?v=Uchi3bi6h2Q,Trevor Ault reports on the deadly storms that killed at least five people and left hundreds of thousands without power across the ...,ABC News,831961,"ABC World News Tonight with David Muir Full Broadcast - April 1, 2025. ABC News · 19:59. ABC World News Tonight with David Muir Full Broadcast - March 31, 2025."
"ABC World News Tonight with David Muir Full Broadcast - March 28, 2025",https://www.youtube.com/watch?v=xORm1IFEVc0,Britt Clennett has the latest on the urgent search for survivors after a catastrophic 7.7 magnitude earthquake rocked Southeast ...,ABC News,741860,"ABC World News Tonight with David Muir Full Broadcast - March 31, 2025 ... ABC World News Tonight with David Muir Full Broadcast - March 28, 2025. ABC ..."
World braces for US trade war escalation | BBC News,https://www.youtube.com/watch?v=N4JRI_vZUws,Stock markets have fallen in Asia and Europe after US President Donald Trump suggested that new tariffs he is set to announce ...,BBC News,332259,Stock markets have fallen in Asia and Europe after US President Donald Trump suggested that new tariffs he is set to announce this week will ...
